text,correct_location,re_matched_labels,spacy_custom_LOC_labels,spacy_base_LOC_labels,bert_ner_labels,all_words
"Die Gemeinde Auenbach und die Stadt Eggried starten ein Austauschprogramm für Jugendliche. Auenbach organisiert die Unterkünfte, Eggried die Freizeitaktivitäten. Das Programm soll Auenbach und Eggried langfristig verbinden.","['Gemeinde Auenbach', 'Stadt Eggried', 'Gemeinde Auenbach', 'Stadt Eggried']",['not_found'],"['Eggried', 'Auenbach', 'Gemeinde Auenbach', 'Stadt Eggried']","['Eggried', 'Auenbach']","['Gemeinde', 'Auenbach', 'Eggried', 'Auenbach', 'Eggried', 'Auenbach', 'Eggried']","['Die', 'Gemeinde', 'Auenbach', 'und', 'die', 'Stadt', 'Eggried', 'starten', 'ein', 'Austauschprogramm', 'für', 'Jugendliche', 'Auenbach', 'organisiert', 'die', 'Unterkünfte', 'Eggried', 'die', 'Freizeitaktivitäten', 'Das', 'Programm', 'soll', 'Auenbach', 'und', 'Eggried', 'langfristig', 'verbinden']"
"Der Kanton Felsenau arbeitet mit der Stadt Schneebach an einem grenzüberschreitenden Naturprojekt. Felsenau stellt Schutzflächen, Schneebach entwickelt Besucherkonzepte. Felsenau und Schneebach wollen damit nachhaltigen Tourismus fördern.","['Kanton Felsenau', 'Stadt Schneebach', 'Kanton Felsenau', 'Stadt Schneebach']",['not_found'],"['Kanton Felsenau', 'Stadt Schneebach']","['Besucherkonzepte', 'Felsenau', 'Schutzflächen', 'Kanton Felsenau', 'Schneebach']","['Kanton Felsenau', 'Schneebach', 'Felsenau', 'Schneebach', 'Felsenau', 'Schneebach']","['Der', 'Kanton', 'Felsenau', 'arbeitet', 'mit', 'der', 'Stadt', 'Schneebach', 'an', 'einem', 'grenzüberschreitenden', 'Naturprojekt', 'Felsenau', 'stellt', 'Schutzflächen', 'Schneebach', 'entwickelt', 'Besucherkonzepte', 'Felsenau', 'und', 'Schneebach', 'wollen', 'damit', 'nachhaltigen', 'Tourismus', 'fördern']"
"Die Gemeinde Tannenheim kooperiert mit der Stadt Märchental bei einem kulturellen Bildungsprojekt. Tannenheim stellt Räume bereit, Märchental entsendet Dozierende. Tannenheim und Märchental setzen neue Maßstäbe in der Bildung.","['Gemeinde Tannenheim', 'Stadt Märchental', 'Gemeinde Tannenheim', 'Stadt Märchental']",['not_found'],"['Tannenheim', 'Gemeinde Tannenheim', 'Stadt Märchental']","['Tannenheim', 'Märchental']","['Gemeinde', 'Tannenheim', 'Märchental', 'Tannenheim', 'Märchental', 'Tannenheim', 'Märchental']","['Die', 'Gemeinde', 'Tannenheim', 'kooperiert', 'mit', 'der', 'Stadt', 'Märchental', 'bei', 'einem', 'kulturellen', 'Bildungsprojekt', 'Tannenheim', 'stellt', 'Räume', 'bereit', 'Märchental', 'entsendet', 'Dozierende', 'Tannenheim', 'und', 'Märchental', 'setzen', 'neue', 'Maßstäbe', 'in', 'der', 'Bildung']"
"Die Stadt Mettlingen organisiert gemeinsam mit dem Kanton Glücksburg eine Veranstaltungsreihe zu Klimaschutz. Mettlingen zeigt Best-Practice-Beispiele, Glücksburg finanziert Experten. Beide – Mettlingen und Glücksburg – möchten Bürger zum Mitmachen animieren.","['Stadt Mettlingen', 'Kanton Glücksburg', 'Stadt Mettlingen', 'Kanton Glücksburg']",['not_found'],"['Stadt Mettlingen', 'Mettlingen']","['Kanton Glücksburg', 'Mettlingen', 'Glücksburg']","['Mettlingen', 'Kanton Glücksburg', 'Mettlingen', 'Glücksburg', 'Mettlingen', 'Glücksburg']","['Die', 'Stadt', 'Mettlingen', 'organisiert', 'gemeinsam', 'mit', 'dem', 'Kanton', 'Glücksburg', 'eine', 'Veranstaltungsreihe', 'zu', 'Klimaschutz', 'Mettlingen', 'zeigt', 'BestPracticeBeispiele', 'Glücksburg', 'finanziert', 'Experten', 'Beide', 'Mettlingen', 'und', 'Glücksburg', 'möchten', 'Bürger', 'zum', 'Mitmachen', 'animieren']"
"Im Kanton Zellberg und in der Gemeinde Hochweiler wurde eine gemeinsame Bibliothek eröffnet. Zellberg stellte das Gebäude, Hochweiler das Personal. Die Einrichtung soll Zellberg und Hochweiler kulturell verbinden.","['Kanton Zellberg', 'Gemeinde Hochweiler', 'Kanton Zellberg', 'Gemeinde Hochweiler']",['not_found'],['Kanton Zellberg'],"['Zellberg', 'Kanton Zellberg', 'Hochweiler']","['Kanton Zellberg', 'Gemeinde Hochweiler', 'Zellberg', 'Hochweiler', 'Zellberg', 'Hochweiler']","['Im', 'Kanton', 'Zellberg', 'und', 'in', 'der', 'Gemeinde', 'Hochweiler', 'wurde', 'eine', 'gemeinsame', 'Bibliothek', 'eröffnet', 'Zellberg', 'stellte', 'das', 'Gebäude', 'Hochweiler', 'das', 'Personal', 'Die', 'Einrichtung', 'soll', 'Zellberg', 'und', 'Hochweiler', 'kulturell', 'verbinden']"
"Die Stadt Fichtenwald kooperiert mit der Gemeinde Windau bei einem Projekt zur Artenvielfalt. Fichtenwald kartiert, Windau analysiert die Daten. Fichtenwald und Windau möchten so bedrohte Arten schützen.","['Stadt Fichtenwald', 'Gemeinde Windau', 'Stadt Fichtenwald', 'Gemeinde Windau']",['not_found'],['Stadt Fichtenwald'],"['Gemeinde Windau', 'Fichtenwald', 'Stadt Fichtenwald', 'Windau']","['Fichtenwald', 'Gemeinde Windau', 'Fichtenwald', 'Windau', 'Fichtenwald', 'Windau']","['Die', 'Stadt', 'Fichtenwald', 'kooperiert', 'mit', 'der', 'Gemeinde', 'Windau', 'bei', 'einem', 'Projekt', 'zur', 'Artenvielfalt', 'Fichtenwald', 'kartiert', 'Windau', 'analysiert', 'die', 'Daten', 'Fichtenwald', 'und', 'Windau', 'möchten', 'so', 'bedrohte', 'Arten', 'schützen']"
"Der Kanton Zelwingen und die Stadt Krähenstadt wollen gemeinsam ein Innovationszentrum eröffnen. Zelwingen plant das Gebäude, Krähenstadt stellt das Personal. Beide – Zelwingen und Krähenstadt – wollen damit junge Unternehmen fördern.","['Kanton Zelwingen', 'Stadt Krähenstadt', 'Kanton Zelwingen', 'Stadt Krähenstadt']",['not_found'],"['Kanton Zelwingen', 'Zelwingen']","['Kanton Zelwingen', 'Zelwingen', 'Krähenstadt', 'Stadt']","['Kanton Zelwingen', 'Krähenstadt', 'Zelwingen', 'Krähenstadt', 'Zelwingen', 'Krähenstadt']","['Der', 'Kanton', 'Zelwingen', 'und', 'die', 'Stadt', 'Krähenstadt', 'wollen', 'gemeinsam', 'ein', 'Innovationszentrum', 'eröffnen', 'Zelwingen', 'plant', 'das', 'Gebäude', 'Krähenstadt', 'stellt', 'das', 'Personal', 'Beide', 'Zelwingen', 'und', 'Krähenstadt', 'wollen', 'damit', 'junge', 'Unternehmen', 'fördern']"
"Die Stadt Eggried und der Kanton Sturmheim entwickeln ein gemeinsames Bildungszentrum für Umweltfragen. Eggried stellt die didaktischen Konzepte, während Sturmheim das Grundstück bereitstellt. Das Projekt soll Eggried und Sturmheim überregional bekannt machen.","['Stadt Eggried', 'Kanton Sturmheim', 'Stadt Eggried', 'Kanton Sturmheim']",['not_found'],"['Eggried', 'Stadt Eggried']","['Eggried', 'Sturmheim', 'Kanton Sturmheim']","['Eggried', 'Kanton Sturmheim', 'Eggried', 'Eggried', 'Sturmheim']","['Die', 'Stadt', 'Eggried', 'und', 'der', 'Kanton', 'Sturmheim', 'entwickeln', 'ein', 'gemeinsames', 'Bildungszentrum', 'für', 'Umweltfragen', 'Eggried', 'stellt', 'die', 'didaktischen', 'Konzepte', 'während', 'Sturmheim', 'das', 'Grundstück', 'bereitstellt', 'Das', 'Projekt', 'soll', 'Eggried', 'und', 'Sturmheim', 'überregional', 'bekannt', 'machen']"
"Die Gemeinde Tannenheim arbeitet mit dem Kanton Glücksburg an einem regionalen Energiekonzept. Tannenheim liefert lokale Daten, Glücksburg stellt überregionale Fördermittel zur Verfügung. Tannenheim und Glücksburg setzen damit Maßstäbe im Bereich Energieeffizienz.","['Gemeinde Tannenheim', 'Kanton Glücksburg', 'Gemeinde Tannenheim', 'Kanton Glücksburg']",['not_found'],"['Kanton Glücksburg', 'Tannenheim', 'Gemeinde Tannenheim']","['Tannenheim', 'Kanton Glücksburg', 'Glücksburg']","['Gemeinde', 'Tannenheim', 'Kanton Glücksburg', 'Tannenheim', 'Glücksburg', 'Tannenheim', 'Glücksburg']","['Die', 'Gemeinde', 'Tannenheim', 'arbeitet', 'mit', 'dem', 'Kanton', 'Glücksburg', 'an', 'einem', 'regionalen', 'Energiekonzept', 'Tannenheim', 'liefert', 'lokale', 'Daten', 'Glücksburg', 'stellt', 'überregionale', 'Fördermittel', 'zur', 'Verfügung', 'Tannenheim', 'und', 'Glücksburg', 'setzen', 'damit', 'Maßstäbe', 'im', 'Bereich', 'Energieeffizienz']"
"Im Kanton Felsenau entsteht in Zusammenarbeit mit der Stadt Märchental ein neues Freilichtmuseum. Felsenau bietet das Gelände, Märchental organisiert Ausstellungen. Das Projekt Felsenau–Märchental soll Kultur und Natur verbinden.","['Kanton Felsenau', 'Stadt Märchental', 'Kanton Felsenau', 'Stadt Märchental']",['not_found'],"['Felsenau', 'Kanton Felsenau', 'Stadt Märchental']","['Kanton Felsenau', 'Märchental', 'Felsenau–Märchental', 'Felsenau']","['Kanton Felsenau', 'Märchental', 'Felsenau', 'Märchental', 'Felsenau']","['Im', 'Kanton', 'Felsenau', 'entsteht', 'in', 'Zusammenarbeit', 'mit', 'der', 'Stadt', 'Märchental', 'ein', 'neues', 'Freilichtmuseum', 'Felsenau', 'bietet', 'das', 'Gelände', 'Märchental', 'organisiert', 'Ausstellungen', 'Das', 'Projekt', 'FelsenauMärchental', 'soll', 'Kultur', 'und', 'Natur', 'verbinden']"
"Die Gemeinde Hochweiler und die Stadt Mettlingen starten eine Initiative für digitale Bildung. Hochweiler testet neue Lernformate, Mettlingen entwickelt die Plattform. Beide Orte wollen mit dem Projekt Hochweiler–Mettlingen die digitale Kluft verringern.","['Gemeinde Hochweiler', 'Stadt Mettlingen', 'Gemeinde Hochweiler', 'Stadt Mettlingen']",['not_found'],['Stadt Mettlingen'],"['Hochweiler', 'Mettlingen']","['Gemeinde', 'Hochweiler', 'Mettlingen', 'Hochweiler', 'Mettlingen', 'Hochweiler', 'Mettlingen']","['Die', 'Gemeinde', 'Hochweiler', 'und', 'die', 'Stadt', 'Mettlingen', 'starten', 'eine', 'Initiative', 'für', 'digitale', 'Bildung', 'Hochweiler', 'testet', 'neue', 'Lernformate', 'Mettlingen', 'entwickelt', 'die', 'Plattform', 'Beide', 'Orte', 'wollen', 'mit', 'dem', 'Projekt', 'HochweilerMettlingen', 'die', 'digitale', 'Kluft', 'verringern']"
"Die Stadt Schneebach plant mit dem Kanton Zellberg ein neues Wintersportzentrum. Schneebach übernimmt die touristische Vermarktung, Zellberg stellt den Baugrund. Schneebach und Zellberg setzen gemeinsam auf nachhaltigen Wintersport.","['Stadt Schneebach', 'Kanton Zellberg', 'Stadt Schneebach', 'Kanton Zellberg']",['not_found'],"['Kanton Zellberg', 'Stadt Schneebach']","['Kanton Zellberg', 'Zellberg', 'Schneebach']","['Schneebach', 'Kanton Zellberg', 'Schneebach', 'Zellberg', 'Schneebach', 'Zellberg']","['Die', 'Stadt', 'Schneebach', 'plant', 'mit', 'dem', 'Kanton', 'Zellberg', 'ein', 'neues', 'Wintersportzentrum', 'Schneebach', 'übernimmt', 'die', 'touristische', 'Vermarktung', 'Zellberg', 'stellt', 'den', 'Baugrund', 'Schneebach', 'und', 'Zellberg', 'setzen', 'gemeinsam', 'auf', 'nachhaltigen', 'Wintersport']"
"Die Gemeinde Auenbach initiiert mit der Stadt Krähenstadt ein Programm zur Lebensmittelrettung. Auenbach betreut lokale Betriebe, Krähenstadt organisiert Verteilung und Öffentlichkeitsarbeit. Auenbach und Krähenstadt wollen damit Ressourcen effizienter nutzen.","['Gemeinde Auenbach', 'Stadt Krähenstadt', 'Gemeinde Auenbach', 'Stadt Krähenstadt']",['not_found'],['Gemeinde Auenbach'],"['Auenbach', 'Stadt', 'Krähenstadt']","['Auenbach', 'Krähenstadt', 'Auenbach', 'Krähenstadt', 'Auenbach', 'Krähenstadt']","['Die', 'Gemeinde', 'Auenbach', 'initiiert', 'mit', 'der', 'Stadt', 'Krähenstadt', 'ein', 'Programm', 'zur', 'Lebensmittelrettung', 'Auenbach', 'betreut', 'lokale', 'Betriebe', 'Krähenstadt', 'organisiert', 'Verteilung', 'und', 'Öffentlichkeitsarbeit', 'Auenbach', 'und', 'Krähenstadt', 'wollen', 'damit', 'Ressourcen', 'effizienter', 'nutzen']"
"Im Kanton Zellbach wird gemeinsam mit der Gemeinde Weidendorf ein regionales Saatgutarchiv aufgebaut. Zellbach übernimmt wissenschaftliche Begleitung, Weidendorf sammelt traditionelle Sorten. Zellbach und Weidendorf sichern so wertvolles Erbgut für die Zukunft.","['Kanton Zellbach', 'Gemeinde Weidendorf', 'Kanton Zellbach', 'Gemeinde Weidendorf']",['not_found'],"['Gemeinde Weidendorf', 'Kanton Zellbach']","['Gemeinde Weidendorf', 'Zellbach', 'Kanton Zellbach', 'Weidendorf']","['Kanton Zellbach', 'Gemeinde', 'Weidendorf', 'Zellbach', 'Weidendorf', 'Zellbach', 'Weidendorf']","['Im', 'Kanton', 'Zellbach', 'wird', 'gemeinsam', 'mit', 'der', 'Gemeinde', 'Weidendorf', 'ein', 'regionales', 'Saatgutarchiv', 'aufgebaut', 'Zellbach', 'übernimmt', 'wissenschaftliche', 'Begleitung', 'Weidendorf', 'sammelt', 'traditionelle', 'Sorten', 'Zellbach', 'und', 'Weidendorf', 'sichern', 'so', 'wertvolles', 'Erbgut', 'für', 'die', 'Zukunft']"
"Die Stadt Hohenstein kooperiert mit der Gemeinde Windau bei der Einrichtung eines Mobilitätsknotenpunkts. Hohenstein plant die Infrastruktur, Windau erprobt neue Sharingmodelle. Hohenstein und Windau wollen gemeinsam den Nahverkehr verbessern.","['Stadt Hohenstein', 'Gemeinde Windau', 'Stadt Hohenstein', 'Gemeinde Windau']",['not_found'],['not_found'],"['Gemeinde Windau', 'Windau', 'Hohenstein', 'Stadt Hohenstein']","['Hohenstein', 'Gemeinde Windau', 'Hohenstein', 'Windau', 'Hohenstein', 'Windau']","['Die', 'Stadt', 'Hohenstein', 'kooperiert', 'mit', 'der', 'Gemeinde', 'Windau', 'bei', 'der', 'Einrichtung', 'eines', 'Mobilitätsknotenpunkts', 'Hohenstein', 'plant', 'die', 'Infrastruktur', 'Windau', 'erprobt', 'neue', 'Sharingmodelle', 'Hohenstein', 'und', 'Windau', 'wollen', 'gemeinsam', 'den', 'Nahverkehr', 'verbessern']"
"Die Stadt Fichtenwald und der Kanton Zellberg organisieren zusammen eine Messe für nachhaltige Technologien. Fichtenwald lädt Unternehmen ein, Zellberg bietet Förderprogramme an. Die Innovationsmesse von Fichtenwald und Zellberg zieht viele Besucher an.","['Stadt Fichtenwald', 'Kanton Zellberg', 'Stadt Fichtenwald', 'Kanton Zellberg']",['not_found'],['Stadt Fichtenwald'],"['Zellberg', 'Kanton Zellberg', 'Fichtenwald', 'Innovationsmesse']","['Fichtenwald', 'Kanton Zellberg', 'Fichtenwald', 'Zellberg', 'Fichtenwald', 'Zellberg']","['Die', 'Stadt', 'Fichtenwald', 'und', 'der', 'Kanton', 'Zellberg', 'organisieren', 'zusammen', 'eine', 'Messe', 'für', 'nachhaltige', 'Technologien', 'Fichtenwald', 'lädt', 'Unternehmen', 'ein', 'Zellberg', 'bietet', 'Förderprogramme', 'an', 'Die', 'Innovationsmesse', 'von', 'Fichtenwald', 'und', 'Zellberg', 'zieht', 'viele', 'Besucher', 'an']"
"Die Gemeinde Alpenruhe plant gemeinsam mit dem Kanton Zelwingen ein Schutzprogramm für Bergwiesen. Alpenruhe stellt Monitoringdaten bereit, Zelwingen organisiert Schulungen. Das Programm Alpenruhe–Zelwingen wird national gefördert.","['Gemeinde Alpenruhe', 'Kanton Zelwingen', 'Gemeinde Alpenruhe', 'Kanton Zelwingen']",['national'],"['Kanton Zelwingen', 'national']","['Kanton Zelwingen', 'Gemeinde Alpenruhe']","['Alpenruh', 'Kanton Zelwingen']","['Die', 'Gemeinde', 'Alpenruhe', 'plant', 'gemeinsam', 'mit', 'dem', 'Kanton', 'Zelwingen', 'ein', 'Schutzprogramm', 'für', 'Bergwiesen', 'Alpenruhe', 'stellt', 'Monitoringdaten', 'bereit', 'Zelwingen', 'organisiert', 'Schulungen', 'Das', 'Programm', 'AlpenruheZelwingen', 'wird', 'national', 'gefördert']"
"Die Stadt Eggried und die Stadt Märchental führen gemeinsam ein Pilotprojekt für urbane Gärten durch. Eggried stellt Flächen bereit, Märchental organisiert Workshops. Eggried und Märchental schaffen so neue Begegnungsräume.","['Stadt Eggried', 'Stadt Märchental', 'Stadt Eggried', 'Stadt Märchental']",['not_found'],"['Eggried', 'Stadt Eggried', 'Stadt Märchental']","['Eggried', 'Märchental']","['Eggried', 'Märchental', 'Eggried', 'Märchental', 'Eggried', 'Märchental']","['Die', 'Stadt', 'Eggried', 'und', 'die', 'Stadt', 'Märchental', 'führen', 'gemeinsam', 'ein', 'Pilotprojekt', 'für', 'urbane', 'Gärten', 'durch', 'Eggried', 'stellt', 'Flächen', 'bereit', 'Märchental', 'organisiert', 'Workshops', 'Eggried', 'und', 'Märchental', 'schaffen', 'so', 'neue', 'Begegnungsräume']"
"Die Gemeinde Tannenheim arbeitet mit der Gemeinde Hochweiler an einem Projekt zur Biodiversität. Tannenheim beobachtet Wildtiere, Hochweiler pflegt Biotope. Die Zusammenarbeit zwischen Tannenheim und Hochweiler stärkt das lokale Ökosystem.","['Gemeinde Tannenheim', 'Gemeinde Hochweiler', 'Gemeinde Tannenheim', 'Gemeinde Hochweiler']",['not_found'],['Gemeinde Tannenheim'],"['Tannenheim', 'Hochweiler']","['Gemeinde', 'Tannenheim', 'Gemeinde Hochweiler', 'Tannenheim', 'Hochweiler', 'Tannenheim', 'Hochweiler']","['Die', 'Gemeinde', 'Tannenheim', 'arbeitet', 'mit', 'der', 'Gemeinde', 'Hochweiler', 'an', 'einem', 'Projekt', 'zur', 'Biodiversität', 'Tannenheim', 'beobachtet', 'Wildtiere', 'Hochweiler', 'pflegt', 'Biotope', 'Die', 'Zusammenarbeit', 'zwischen', 'Tannenheim', 'und', 'Hochweiler', 'stärkt', 'das', 'lokale', 'Ökosystem']"
"Der Kanton Glücksburg und die Stadt Mettlingen planen gemeinsam ein Bürgerbeteiligungsportal. Glücksburg entwickelt die Plattform, Mettlingen organisiert Workshops zur Einführung. Das Projekt Glücksburg–Mettlingen gilt als wegweisend.","['Kanton Glücksburg', 'Stadt Mettlingen', 'Kanton Glücksburg', 'Stadt Mettlingen']",['not_found'],"['Stadt Mettlingen', 'Kanton Glücksburg']","['Kanton Glücksburg', 'Mettlingen', 'Glücksburg']","['Kanton Glücksburg', 'Mettlingen', 'Glücksburg', 'Mettlingen', 'Glücksburg', 'Mettlingen']","['Der', 'Kanton', 'Glücksburg', 'und', 'die', 'Stadt', 'Mettlingen', 'planen', 'gemeinsam', 'ein', 'Bürgerbeteiligungsportal', 'Glücksburg', 'entwickelt', 'die', 'Plattform', 'Mettlingen', 'organisiert', 'Workshops', 'zur', 'Einführung', 'Das', 'Projekt', 'GlücksburgMettlingen', 'gilt', 'als', 'wegweisend']"
"Die Stadt Krähenstadt und Sonnikon veranstalten eine Nachhaltigkeitswoche. Krähenstadt bietet Vorträge, Weidendorf organisiert lokale Führungen. Die Nachhaltigkeitswoche in Krähenstadt und Weidendorf findet großen Anklang.","['Stadt Krähenstadt', 'Gemeinde Weidendorf', 'Stadt Krähenstadt', 'Gemeinde Weidendorf']",['not_found'],['not_found'],"['Krähenstadt', 'Nachhaltigkeitswoche', 'Weidendorf', 'Sonnikon', 'Stadt']","['Krähenstadt', 'Sonnikon', 'Krähenstadt', 'Weidendorf', 'Krähenstadt', 'Weidendorf']","['Die', 'Stadt', 'Krähenstadt', 'und', 'Sonnikon', 'veranstalten', 'eine', 'Nachhaltigkeitswoche', 'Krähenstadt', 'bietet', 'Vorträge', 'Weidendorf', 'organisiert', 'lokale', 'Führungen', 'Die', 'Nachhaltigkeitswoche', 'in', 'Krähenstadt', 'und', 'Weidendorf', 'findet', 'großen', 'Anklang']"
"Der Kanton Felsenau und die Gemeinde Eggried bauen zusammen ein Besucherzentrum zum Thema Klimawandel. Felsenau übernimmt Bau und Finanzierung, Windau gestaltet die Inhalte. Felsenau und Windau setzen damit ein Zeichen für Umweltbildung.","['Kanton Felsenau', 'Gemeinde Windau', 'Kanton Felsenau', 'Gemeinde Windau']",['not_found'],"['Kanton Felsenau', 'Gemeinde Eggried', 'Felsenau']","['Felsenau', 'Eggried', 'Kanton Felsenau', 'Windau']","['Kanton Felsenau', 'Gemeinde', 'Eggried', 'Felsenau', 'Windau', 'Felsenau', 'Windau']","['Der', 'Kanton', 'Felsenau', 'und', 'die', 'Gemeinde', 'Eggried', 'bauen', 'zusammen', 'ein', 'Besucherzentrum', 'zum', 'Thema', 'Klimawandel', 'Felsenau', 'übernimmt', 'Bau', 'und', 'Finanzierung', 'Windau', 'gestaltet', 'die', 'Inhalte', 'Felsenau', 'und', 'Windau', 'setzen', 'damit', 'ein', 'Zeichen', 'für', 'Umweltbildung']"
"Die Stadt Märchental plant zusammen mit der Stadt Schneebach ein Filmfestival in den Alpen. Märchental kuratiert das Programm, Schneebach stellt Kinosäle zur Verfügung. Das Festival von Märchental und Schneebach soll jährlich stattfinden.","['Stadt Märchental', 'Stadt Schneebach', 'Stadt Märchental', 'Stadt Schneebach']",['not_found'],"['Stadt Schneebach', 'Stadt Märchental']","['Märchental', 'Schneebach', 'Alpen']","['Märchental', 'Schneebach', 'Alpen', 'Märchental', 'Schneebach', 'Märchental', 'Schneebach']","['Die', 'Stadt', 'Märchental', 'plant', 'zusammen', 'mit', 'der', 'Stadt', 'Schneebach', 'ein', 'Filmfestival', 'in', 'den', 'Alpen', 'Märchental', 'kuratiert', 'das', 'Programm', 'Schneebach', 'stellt', 'Kinosäle', 'zur', 'Verfügung', 'Das', 'Festival', 'von', 'Märchental', 'und', 'Schneebach', 'soll', 'jährlich', 'stattfinden']"
"Die Gemeinde Auenbach kooperiert mit dem Kanton Sturmheim für ein Projekt zum Wassermanagement. Auenbach liefert Daten, Sturmheim entwickelt Modelle. Das System Auenbach–Sturmheim wird als Pilotprojekt getestet.","['Gemeinde Auenbach', 'Kanton Sturmheim', 'Gemeinde Auenbach', 'Kanton Sturmheim']",['not_found'],['Gemeinde Auenbach'],"['Auenbach', 'Kanton Sturmheim']","['Gemeinde', 'Auenbach', 'Kanton Sturmheim', 'Auenbach']","['Die', 'Gemeinde', 'Auenbach', 'kooperiert', 'mit', 'dem', 'Kanton', 'Sturmheim', 'für', 'ein', 'Projekt', 'zum', 'Wassermanagement', 'Auenbach', 'liefert', 'Daten', 'Sturmheim', 'entwickelt', 'Modelle', 'Das', 'System', 'AuenbachSturmheim', 'wird', 'als', 'Pilotprojekt', 'getestet']"
"Die Stadt Hohenstein und der Kanton Zelwingen arbeiten an einem Gemeinschaftsprojekt für Denkmalschutz. Hohenstein betreut historische Objekte, Zelwingen sorgt für Fachkräfte. Hohenstein und Zelwingen sichern gemeinsam kulturelles Erbe.","['Stadt Hohenstein', 'Kanton Zelwingen', 'Stadt Hohenstein', 'Kanton Zelwingen']",['not_found'],['Kanton Zelwingen'],"['Zelwingen', 'Stadt Hohenstein']","['Hohenstein', 'Kanton Zelwingen', 'Hohenstein', 'Zelwingen', 'Hohenstein', 'Zelwingen']","['Die', 'Stadt', 'Hohenstein', 'und', 'der', 'Kanton', 'Zelwingen', 'arbeiten', 'an', 'einem', 'Gemeinschaftsprojekt', 'für', 'Denkmalschutz', 'Hohenstein', 'betreut', 'historische', 'Objekte', 'Zelwingen', 'sorgt', 'für', 'Fachkräfte', 'Hohenstein', 'und', 'Zelwingen', 'sichern', 'gemeinsam', 'kulturelles', 'Erbe']"
"Die Stadt Fichtenwald und die Stadt Eggried starten ein Austauschprogramm für Schulen. Fichtenwald organisiert Unterkünfte, Eggried stellt Lehrmaterialien. Fichtenwald und Eggried stärken dadurch ihre Bildungslandschaft.","['Stadt Fichtenwald', 'Stadt Eggried', 'Stadt Fichtenwald', 'Stadt Eggried']",['not_found'],"['Stadt Eggried', 'Stadt Fichtenwald']","['Eggried', 'Fichtenwald']","['Fichtenwald', 'Eggried', 'Fichtenwald', 'Eggried', 'Fichtenwald', 'Eggried']","['Die', 'Stadt', 'Fichtenwald', 'und', 'die', 'Stadt', 'Eggried', 'starten', 'ein', 'Austauschprogramm', 'für', 'Schulen', 'Fichtenwald', 'organisiert', 'Unterkünfte', 'Eggried', 'stellt', 'Lehrmaterialien', 'Fichtenwald', 'und', 'Eggried', 'stärken', 'dadurch', 'ihre', 'Bildungslandschaft']"
"Die Gemeinde Tannenheim kooperiert mit der Gemeinde Alpenruhe im Bereich regionaler Vermarktung. Tannenheim konzentriert sich auf Milchprodukte, Alpenruhe auf Kräuter. Tannenheim und Alpenruhe erschließen gemeinsam neue Märkte.","['Gemeinde Tannenheim', 'Gemeinde Alpenruhe', 'Gemeinde Tannenheim', 'Gemeinde Alpenruhe']",['not_found'],['Gemeinde Tannenheim'],"['Alpenruhe', 'Tannenheim', 'Gemeinde Alpenruhe']","['Gemeinde', 'Tannenheim', 'Gemeinde', 'Alpenruhe', 'Tannenheim', 'Alpenruhe', 'Tannenheim', 'Alpenruhe']","['Die', 'Gemeinde', 'Tannenheim', 'kooperiert', 'mit', 'der', 'Gemeinde', 'Alpenruhe', 'im', 'Bereich', 'regionaler', 'Vermarktung', 'Tannenheim', 'konzentriert', 'sich', 'auf', 'Milchprodukte', 'Alpenruhe', 'auf', 'Kräuter', 'Tannenheim', 'und', 'Alpenruhe', 'erschließen', 'gemeinsam', 'neue', 'Märkte']"
"Die Stadt Krähenstadt und die Kanton Zellbach arbeiten gemeinsam an einem innovativen Regionalprojekt. Stadt Krähenstadt bringt Erfahrung in der Umsetzung mit, während Kanton Zellbach über exzellente Infrastruktur verfügt. Sowohl Stadt Krähenstadt als auch Kanton Zellbach profitieren von dieser Zusammenarbeit.","['Stadt Krähenstadt', 'Kanton Zellbach', 'Stadt Krähenstadt', 'Kanton Zellbach', 'Stadt Krähenstadt', 'Kanton Zellbach']",['not_found'],['Kanton Zellbach'],"['Krähenstadt', 'Zellbach', 'Stadt', 'Kanton Zellbach']","['Krähenstadt', 'Kanton Zellbach', 'Krähenstadt', 'Kanton Zellbach', 'Krähenstadt', 'Kanton Zellbach']","['Die', 'Stadt', 'Krähenstadt', 'und', 'die', 'Kanton', 'Zellbach', 'arbeiten', 'gemeinsam', 'an', 'einem', 'innovativen', 'Regionalprojekt', 'Stadt', 'Krähenstadt', 'bringt', 'Erfahrung', 'in', 'der', 'Umsetzung', 'mit', 'während', 'Kanton', 'Zellbach', 'über', 'exzellente', 'Infrastruktur', 'verfügt', 'Sowohl', 'Stadt', 'Krähenstadt', 'als', 'auch', 'Kanton', 'Zellbach', 'profitieren', 'von', 'dieser', 'Zusammenarbeit']"
