text,correct_location
"Im Rahmen eines regionalen Forschungsprojekts zwischen der Kanton Zellberg und der Stadt Schneebach wurde untersucht die interoperable Vernetzung von Geodaten zwischen Behörden. Die gewonnenen Daten werden in zukünftige Raumkonzepte integriert.","Kanton Zellberg, Stadt Schneebach"
"Im Rahmen eines regionalen Forschungsprojekts zwischen der Gemeinde Hochweiler und der Stadt Mettlingen wurde untersucht die Analyse historischer Wetterdaten zur Klimafolgenabschätzung. Die Analyse wurde unter Einhaltung nationaler Datenstandards durchgeführt.","Gemeinde Hochweiler, Stadt Mettlingen"
"Die Gemeinde Weidendorf veröffentlichte in Zusammenarbeit mit der Kanton Sturmheim eine umfassende Analyse zu die Nutzung von Sensordaten zur Luftqualitätsüberwachung in Stadt und Land. Das Vorhaben leistet einen Beitrag zur digitalen Transformation im öffentlichen Sektor.","Gemeinde Weidendorf, Kanton Sturmheim"
"Die Stadt Märchental veröffentlichte in Zusammenarbeit mit der Kanton Zelwingen eine umfassende Analyse zu die Analyse historischer Wetterdaten zur Klimafolgenabschätzung. Die gewonnenen Daten werden in zukünftige Raumkonzepte integriert.","Stadt Märchental, Kanton Zelwingen"
"Im Rahmen eines regionalen Forschungsprojekts zwischen der Gemeinde Alpenruhe und der Stadt Fichtenwald wurde untersucht die Etablierung eines kommunalen Datenkatasters zur Flächenplanung. Die verwendeten Methoden lassen sich auf andere Regionen übertragen.","Gemeinde Alpenruhe, Stadt Fichtenwald"
"Diese Studie aus der Stadt Krähenstadt in Kooperation mit der Gemeinde Windau analysiert die Dokumentation baulicher Veränderungen durch automatisierte Bildauswertung. Die gewonnenen Daten werden in zukünftige Raumkonzepte integriert.","Stadt Krähenstadt, Gemeinde Windau"
"Im Rahmen eines regionalen Forschungsprojekts zwischen der Kanton Zellbach und der Stadt Hohenstein wurde untersucht die Etablierung eines kommunalen Datenkatasters zur Flächenplanung. Die Zusammenarbeit stärkt den Aufbau offener Dateninfrastrukturen.","Kanton Zellbach, Stadt Hohenstein"
"Im Rahmen eines regionalen Forschungsprojekts zwischen der Gemeinde Tannenheim und der Kanton Zellberg wurde untersucht die standardisierte Erfassung kommunaler Infrastrukturdaten. Die gewonnenen Daten werden in zukünftige Raumkonzepte integriert.","Gemeinde Tannenheim, Kanton Zellberg"
"Der Bericht, herausgegeben von Mettlingen, mit Unterstützung der Kanton Felsenau, behandelt die Visualisierung von Bevölkerungsbewegungen zur Standortplanung. Die Zusammenarbeit stärkt den Aufbau offener Dateninfrastrukturen.","Stadt Mettlingen, Kanton Felsenau"
"Der Bericht, herausgegeben von der Gemeinde Auenbach, mit Unterstützung der Stadt Schneebach, behandelt die Etablierung eines kommunalen Datenkatasters zur Flächenplanung. Die verwendeten Methoden lassen sich auf andere Regionen übertragen.","Gemeinde Auenbach, Stadt Schneebach"
"Die Kanton Glücksburg veröffentlichte in Zusammenarbeit mit der Gemeinde Hochweiler eine umfassende Analyse zu die Analyse von Verkehrsflüssen mittels Mobilfunkdaten. Die verwendeten Methoden lassen sich auf andere Regionen übertragen.","Kanton Glücksburg, Gemeinde Hochweiler"
"Die Stadt Eggried veröffentlichte in Zusammenarbeit mit der Gemeinde Windau eine umfassende Analyse zu die Analyse historischer Wetterdaten zur Klimafolgenabschätzung. Die gewonnenen Daten werden in zukünftige Raumkonzepte integriert.","Stadt Eggried, Gemeinde Windau"
"Der Bericht, herausgegeben von der Kanton Zellbach, mit Unterstützung der Stadt Märchental, behandelt die standardisierte Erfassung kommunaler Infrastrukturdaten. Die Analyse wurde unter Einhaltung nationaler Datenstandards durchgeführt.","Kanton Zellbach, Stadt Märchental"
"Diese Studie aus der Gemeinde Alpenruhe in Kooperation mit der Gemeinde Weidendorf analysiert die Nutzung von Sensordaten zur Luftqualitätsüberwachung in Stadt und Land. Das Vorhaben leistet einen Beitrag zur digitalen Transformation im öffentlichen Sektor.","Gemeinde Alpenruhe, Gemeinde Weidendorf"
"Zwischen der Kanton Zellbach und der Stadt Fichtenwald entstand eine Erhebung über die Auswirkungen von Wildverbiss auf die natürliche Verjüngung in Bergwäldern. Die gewonnenen Erkenntnisse fließen in Pflegepläne und Schutzkonzepte ein.","Kanton Zellbach, Stadt Fichtenwald"
"Im Rahmen eines regionalen Forschungsprojekts zwischen der Gemeinde Weidendorf und der Kanton Glücksburg wurde untersucht die Beobachtung saisonaler Veränderungen in Wiesen- und Weideflächen. Die Daten ermöglichen die gezielte Steuerung naturschutzfachlicher Maßnahmen.","Gemeinde Weidendorf, Kanton Glücksburg"
"Zwischen der Stadt Märchental und der Gemeinde Alpenruhe entstand eine Erhebung über die Gewässergüteanalyse kleiner Zuflüsse in Agrarlandschaften. Die gewonnenen Erkenntnisse fließen in Pflegepläne und Schutzkonzepte ein.","Stadt Märchental, Gemeinde Alpenruhe"
"Im Rahmen eines regionalen Forschungsprojekts zwischen der Gemeinde Hochweiler und der Kanton Sturmheim wurde untersucht die Beobachtung saisonaler Veränderungen in Wiesen- und Weideflächen. Die Ergebnisse unterstützen Naturschutzfachstellen bei regionalen Planungen.","Gemeinde Hochweiler, Kanton Sturmheim"
"Die Stadt Schneebach veröffentlichte in Zusammenarbeit mit der Gemeinde Auenbach eine umfassende Analyse zu die Erhebung zur Biodiversität in Schutzwäldern über mehrere Höhenstufen. Die Ergebnisse unterstützen Naturschutzfachstellen bei regionalen Planungen.","Stadt Schneebach, Gemeinde Auenbach"
"Diese Studie aus der Stadt Hohenstein in Kooperation mit der Kanton Zellberg analysiert die langfristige Entwicklung von Waldbeständen unter Einfluss des Klimawandels. Die Daten ermöglichen die gezielte Steuerung naturschutzfachlicher Maßnahmen.","Stadt Hohenstein, Kanton Zellberg"
"Zwischen der Gemeinde Windau und Eggried entstand eine Erhebung über die Entwicklung von Managementstrategien für naturnahe Naherholungsgebiete. Die gewonnenen Erkenntnisse fließen in Pflegepläne und Schutzkonzepte ein.","Gemeinde Windau, Stadt Eggried"
"Der Bericht, herausgegeben von der Stadt Mettlingen, mit Unterstützung der Gemeinde Tannenheim, behandelt die Beobachtung saisonaler Veränderungen in Wiesen- und Weideflächen. Die Daten ermöglichen die gezielte Steuerung naturschutzfachlicher Maßnahmen.","Stadt Mettlingen, Gemeinde Tannenheim"
"Zwischen der Kanton Zelwingen und der Gemeinde Weidendorf entstand eine Erhebung über die Wiederherstellung von Feuchtgebieten und deren Bedeutung für die Artenvielfalt. Die Analyse zeigt die Notwendigkeit eines verbesserten Lebensraumschutzes auf.","Kanton Zelwingen, Gemeinde Weidendorf"
"Zwischen der Stadt Krähenstadt und der Gemeinde Alpenruhe entstand eine Erhebung über die Gewässergüteanalyse kleiner Zuflüsse in Agrarlandschaften. Die Studie liefert eine wichtige Grundlage für ökologische Langzeitbeobachtungen.","Stadt Krähenstadt, Gemeinde Alpenruhe"
"Der Bericht, herausgegeben von der Gemeinde Auenbach, mit Unterstützung der Kanton Felsenau, behandelt die Erhebung zur Biodiversität in Schutzwäldern über mehrere Höhenstufen. Die Ergebnisse unterstützen Naturschutzfachstellen bei regionalen Planungen.","Gemeinde Auenbach, Kanton Felsenau"
"Im Rahmen eines regionalen Forschungsprojekts zwischen der Stadt Eggried und der Kanton Zellbach wurde untersucht die Erfassung und Pflege von Biotopverbundsystemen in Randzonen. Die Analyse zeigt die Notwendigkeit eines verbesserten Lebensraumschutzes auf.","Stadt Eggried, Kanton Zellbach"
"Diese Studie aus der Gemeinde Hochweiler in Kooperation mit der Stadt Mettlingen analysiert die Auswirkungen von Wildverbiss auf die natürliche Verjüngung in Bergwäldern. Die Daten ermöglichen die gezielte Steuerung naturschutzfachlicher Maßnahmen.","Gemeinde Hochweiler, Stadt Mettlingen"
"Zwischen der Kanton Zellberg und Schneebach entstand eine Erhebung über die ökologische Zustandserhebung von Fließgewässern in naturnahen Regionen. Die Studie liefert eine wichtige Grundlage für ökologische Langzeitbeobachtungen.","Kanton Zellberg, Stadt Schneebach"
"Diese Studie aus der Stadt Fichtenwald in Kooperation mit der Gemeinde Tannenheim analysiert die Wiederherstellung von Feuchtgebieten und deren Bedeutung für die Artenvielfalt. Die Studie liefert eine wichtige Grundlage für ökologische Langzeitbeobachtungen.","Stadt Fichtenwald, Gemeinde Tannenheim"
"Diese Studie aus der Gemeinde Windau in Kooperation mit der Stadt Märchental analysiert die Erhebung zur Biodiversität in Schutzwäldern über mehrere Höhenstufen. Die Analyse zeigt die Notwendigkeit eines verbesserten Lebensraumschutzes auf.","Gemeinde Windau, Stadt Märchental"
"Zwischen der Gemeinde Weidendorf und der Kanton Felsenau entstand eine Erhebung über die Erhebung zur Biodiversität in Schutzwäldern über mehrere Höhenstufen. Die gewonnenen Erkenntnisse fließen in Pflegepläne und Schutzkonzepte ein.","Gemeinde Weidendorf, Kanton Felsenau"
"Der Bericht, herausgegeben von der Kanton Glücksburg, mit Unterstützung der Gemeinde Auenbach, behandelt die Entwicklung von Managementstrategien für naturnahe Naherholungsgebiete. Die Studie liefert eine wichtige Grundlage für ökologische Langzeitbeobachtungen.","Kanton Glücksburg, Gemeinde Auenbach"
"Diese Studie aus der Stadt Hohenstein in Kooperation mit der Gemeinde Hochweiler analysiert die Verbreitung invasiver Pflanzenarten in alpinen Landschaften. Die Daten ermöglichen die gezielte Steuerung naturschutzfachlicher Maßnahmen.","Stadt Hohenstein, Gemeinde Hochweiler"
"Zwischen der Stadt Märchental und der Kanton Zellbach entstand eine Erhebung über die langfristige Entwicklung von Waldbeständen unter Einfluss des Klimawandels. Die gewonnenen Erkenntnisse fließen in Pflegepläne und Schutzkonzepte ein.","Stadt Märchental, Kanton Zellbach"
"Im Rahmen eines regionalen Forschungsprojekts zwischen der Stadt Krähenstadt und der Gemeinde Windau wurde untersucht die Verbreitung invasiver Pflanzenarten in alpinen Landschaften. Die Analyse zeigt die Notwendigkeit eines verbesserten Lebensraumschutzes auf.","Stadt Krähenstadt, Gemeinde Windau"
"Die Gemeinde Tannenheim veröffentlichte in Zusammenarbeit mit der Stadt Eggried eine umfassende Analyse zu die ökologische Zustandserhebung von Fließgewässern in naturnahen Regionen. Die Studie liefert eine wichtige Grundlage für ökologische Langzeitbeobachtungen.","Gemeinde Tannenheim, Stadt Eggried"
"Diese Studie aus der Kanton Zelwingen in Kooperation mit der Stadt Fichtenwald analysiert die langfristige Entwicklung von Waldbeständen unter Einfluss des Klimawandels. Die Ergebnisse unterstützen Naturschutzfachstellen bei regionalen Planungen.","Kanton Zelwingen, Stadt Fichtenwald"
"Die Kanton Felsenau veröffentlichte in Zusammenarbeit mit der Gemeinde Alpenruhe eine umfassende Analyse zu die langfristige Entwicklung von Waldbeständen unter Einfluss des Klimawandels. Die Analyse zeigt die Notwendigkeit eines verbesserten Lebensraumschutzes auf.","Kanton Felsenau, Gemeinde Alpenruhe"
"Zwischen der Stadt Schneebach und der Gemeinde Hochweiler entstand eine Erhebung über die Wiederherstellung von Feuchtgebieten und deren Bedeutung für die Artenvielfalt. Die Daten ermöglichen die gezielte Steuerung naturschutzfachlicher Maßnahmen.","Stadt Schneebach, Gemeinde Hochweiler"
"Im Rahmen eines regionalen Forschungsprojekts zwischen der Stadt Eggried und der Gemeinde Tannenheim wurde untersucht die Erhebung von Fahrradverkehrsdaten durch automatisierte Zählstellen. Die Daten liefern wichtige Grundlagen für die Verkehrsplanung.","Stadt Eggried, Gemeinde Tannenheim"
"Im Rahmen eines regionalen Forschungsprojekts zwischen der Kanton Glücksburg und der Stadt Mettlingen wurde untersucht die Analyse von ÖPNV-Nutzungsdaten im ländlichen Raum. Die Analyse unterstützt die Umstellung auf nachhaltige Mobilitätsformen.","Kanton Glücksburg, Stadt Mettlingen"
"Diese Studie aus der Gemeinde Weidendorf in Kooperation mit der Kanton Zellbach analysiert die Verarbeitung von Bewegungsdaten zur Optimierung innerstädtischer Verkehrsflüsse. Die Ergebnisse werden in kommunale Mobilitätsstrategien integriert.","Gemeinde Weidendorf, Kanton Zellbach"
"Diese Studie aus der Stadt Märchental in Kooperation mit der Gemeinde Alpenruhe analysiert die Integration von Echtzeitdaten aus Carsharing- und Bikesharing-Systemen. Die Studie zeigt Optimierungspotenziale im Verkehrsangebot auf.","Stadt Märchental, Gemeinde Alpenruhe"
"Diese Studie aus der Gemeinde Hochweiler in Kooperation mit der Kanton Sturmheim analysiert die Untersuchung von Pendlerströmen auf Basis von Mobilfunkdaten. Das Projekt stärkt die Datengrundlage für regionale Verkehrsmodelle.","Gemeinde Hochweiler, Kanton Sturmheim"
"Die Stadt Krähenstadt veröffentlichte in Zusammenarbeit mit der Gemeinde Windau eine umfassende Analyse zu die Auswertung von Parkraumnutzungsdaten zur Raumplanung. Die Untersuchung belegt den Nutzen intelligenter Verkehrssteuerung.","Stadt Krähenstadt, Gemeinde Windau"
"Der Bericht, herausgegeben von der Kanton Felsenau, mit Unterstützung der Stadt Schneebach, behandelt die Bereitstellung offener Mobilitätsdaten über standardisierte Schnittstellen. Die Erkenntnisse fließen in neue digitale Mobilitätsdienste ein.","Kanton Felsenau, Stadt Schneebach"
"Im Rahmen eines regionalen Forschungsprojekts zwischen der Gemeinde Auenbach und der Kanton Zellberg wurde untersucht die Entwicklung eines multimodalen Routenplaners auf Basis offener Mobilitätsdaten. Die Anwendung fördert nachhaltige Mobilität durch datenbasierte Entscheidungshilfen.","Gemeinde Auenbach, Kanton Zellberg"
"Zwischen der Stadt Hohenstein und der Gemeinde Weidendorf entstand eine Erhebung über die Simulation zukünftiger Verkehrsszenarien auf Basis historischer Mobilitätsdaten. Die Resultate unterstützen die Planung resilienter Verkehrsinfrastrukturen.","Stadt Hohenstein, Gemeinde Weidendorf"
